ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1028	Carson	Ben			52			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1027	Bush	Jeb			23			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	2	Republican	-1050	Uncommitted				525			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	1	Democratic	-1049	Uncommitted				285			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	1	Democratic	-1044	De La Fuente	Roque			9			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	1	Democratic	-1043	Sanders	Bernie			5968			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	1	Democratic	-1042	O'Malley	Martin			35			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	1	Democratic	-1041	Clinton	Hillary			6698			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	2	Republican	-1040	Trump	Donald			7891			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	2	Republican	-1039	Santorum	Rick			35			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	2	Republican	-1038	Rubio	Marco			2401			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	2	Republican	-1037	Paul	Rand			60			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	2	Republican	-1036	Pataki	George			13			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	2	Republican	-1035	Kasich	John			4289			
2016-03-08	1	00000	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	2	Republican	-1033	Huckabee	Mike			48			
